REGION,WARD
ARUSHA,Bangata
ARUSHA,Bwawani
ARUSHA,Ilboru
ARUSHA,Ilkiding'a
ARUSHA,Kimnyaki
ARUSHA,Kiranyi
ARUSHA,Kisongo
ARUSHA,Kiutu
ARUSHA,Laroi
ARUSHA,Lemanyata
ARUSHA,Mateves
ARUSHA,Mlangarini
ARUSHA,Moivo
ARUSHA,Musa
ARUSHA,Mwandet
ARUSHA,Nduruma
ARUSHA,Oldonyosambu
ARUSHA,Oldonyowass
ARUSHA,Oljoro
ARUSHA,Olkokola
ARUSHA,Olmotonyi
ARUSHA,Olorien
ARUSHA,Olturoto
ARUSHA,Olturumet
ARUSHA,Sambasha
ARUSHA,Sokon II
ARUSHA,Tarakwa
ARUSHA,Baraa
ARUSHA,Daraja Ii
ARUSHA,Elerai
ARUSHA,Engutoto
ARUSHA,Kaloleni
ARUSHA,Kati
ARUSHA,Kimandolu
ARUSHA,Lemara
ARUSHA,Levolosi
ARUSHA,Moivaro
ARUSHA,Moshono
ARUSHA,Muriet
ARUSHA,Ngarenaro
ARUSHA,Olasiti
ARUSHA,Olmoti
ARUSHA,Oloirien
ARUSHA,Osunyai Jr
ARUSHA,Sekei
ARUSHA,Sinoni
ARUSHA,Sokon I
ARUSHA,Sombetini
ARUSHA,Terrat
ARUSHA,Themi
ARUSHA,Unga Ltd
ARUSHA,Baray
ARUSHA,Buger
ARUSHA,Daa
ARUSHA,Endabash
ARUSHA,Endamaghang
ARUSHA,Endamarariek
ARUSHA,Ganako
ARUSHA,Kansay
ARUSHA,Karatu
ARUSHA,Mangiola
ARUSHA,Mbulumbulu
ARUSHA,Oldeani
ARUSHA,Qurus
ARUSHA,Rhotia
ARUSHA,Elangiatadapash
ARUSHA,Engarenaibor
ARUSHA,Engikaret
ARUSHA,Gelai Lumbwa
ARUSHA,Gelai Meirugoi
ARUSHA,Ilorienito
ARUSHA,Kamwanga
ARUSHA,Ketumbeine
ARUSHA,Kimokouwa
ARUSHA,Longido
ARUSHA,Matale A
ARUSHA,Mundarara
ARUSHA,Namanga
ARUSHA,Noondoto
ARUSHA,Olmolog
ARUSHA,Orbomba
ARUSHA,Sinya
ARUSHA,Tingatinga
ARUSHA,Akheri
ARUSHA,Ambureni
ARUSHA,Imbaseni
ARUSHA,Kikatiti
ARUSHA,Kikwe
ARUSHA,King'ori
ARUSHA,Leguruki
ARUSHA,Majengo
ARUSHA,Maji ya chai
ARUSHA,Makiba
ARUSHA,Malula
ARUSHA,Maroroni
ARUSHA,Maruvango
ARUSHA,Mbuguni
ARUSHA,Ngabobo
ARUSHA,Ngarenanyuki
ARUSHA,Nkoanekoli
ARUSHA,Nkoanrua
ARUSHA,Nkoaranga
ARUSHA,Nkoarisambu
ARUSHA,Poli
ARUSHA,Seela Sing'isi
ARUSHA,Shambarai Burka
ARUSHA,Songoro
ARUSHA,Usariver
ARUSHA,Uwiro
ARUSHA,Engaruka
ARUSHA,Esilalei
ARUSHA,Lashaine
ARUSHA,Lemooti
ARUSHA,Lepurko
ARUSHA,Lolkisale
ARUSHA,Makuyuni
ARUSHA,Meserani
ARUSHA,Mfereji
ARUSHA,Migungani
ARUSHA,Moita
ARUSHA,Monduli juu
ARUSHA,Monduli Mjini
ARUSHA,Mswakini
ARUSHA,Mto wa Mbu
ARUSHA,Naalarami
ARUSHA,Selela
ARUSHA,Sepeko
ARUSHA,Alailelai
ARUSHA,Alaitolei
ARUSHA,Arash
ARUSHA,Digodigo
ARUSHA,Enduleni
ARUSHA,Engaresero
ARUSHA,Enguserosambu
ARUSHA,Eyasi
ARUSHA,Kakesio
ARUSHA,Kirangi
ARUSHA,Maalon
ARUSHA,Malambo
ARUSHA,Misigyo
ARUSHA,Nainokanoka
ARUSHA,Naiyobi
ARUSHA,Ngoile
ARUSHA,Ngorongoro
ARUSHA,Olbalbal
ARUSHA,Oloipiri
ARUSHA,Ololosokwan
ARUSHA,Olorien/Magaiduru
ARUSHA,Orgosorok
ARUSHA,Pinyinyi
ARUSHA,Piyaya
ARUSHA,Sale
ARUSHA,Soitsambu
DAR ES SALAAM,Bonyokwa
DAR ES SALAAM,Buguruni
DAR ES SALAAM,Buyuni
DAR ES SALAAM,Chanika
DAR ES SALAAM,Gerezani
DAR ES SALAAM,Gongolamboto
DAR ES SALAAM,Ilala
DAR ES SALAAM,Jangwani
DAR ES SALAAM,Kariakoo
DAR ES SALAAM,Kimanga
DAR ES SALAAM,Kinyerezi
DAR ES SALAAM,Kipawa
DAR ES SALAAM,Kipunguni
DAR ES SALAAM,Kisukulu
DAR ES SALAAM,Kisutu
DAR ES SALAAM,Kitunda
DAR ES SALAAM,Kivukoni
DAR ES SALAAM,Kivule
DAR ES SALAAM,Kiwalani
DAR ES SALAAM,Liwiti
DAR ES SALAAM,Majohe
DAR ES SALAAM,Mchafukoge
DAR ES SALAAM,Mchikichini
DAR ES SALAAM,Msongola
DAR ES SALAAM,Mzinga
DAR ES SALAAM,Pugu
DAR ES SALAAM,Pugu Station
DAR ES SALAAM,Segerea
DAR ES SALAAM,Tabata
DAR ES SALAAM,Ukonga
DAR ES SALAAM,Upanga Magharibi
DAR ES SALAAM,Upanga Mashariki
DAR ES SALAAM,Vingunguti
DAR ES SALAAM,Zingiziwa
DAR ES SALAAM,Kibada
DAR ES SALAAM,Kigamboni
DAR ES SALAAM,Kimbiji
DAR ES SALAAM,Kisarawe II
DAR ES SALAAM,Mjimwema
DAR ES SALAAM,Pemba Mnazi
DAR ES SALAAM,Somangila
DAR ES SALAAM,Tungi
DAR ES SALAAM,Vijibweni
DAR ES SALAAM,Bunju
DAR ES SALAAM,Hananasif
DAR ES SALAAM,Kawe
DAR ES SALAAM,Kigogo
DAR ES SALAAM,Kijitonyama
DAR ES SALAAM,Kinondoni
DAR ES SALAAM,Kunduchi
DAR ES SALAAM,Mabwepande
DAR ES SALAAM,Magomeni
DAR ES SALAAM,Makongo
DAR ES SALAAM,Makumbusho
DAR ES SALAAM,Mbezi Juu
DAR ES SALAAM,Mbweni
DAR ES SALAAM,Mikocheni
DAR ES SALAAM,Msasani
DAR ES SALAAM,Mwananyamala
DAR ES SALAAM,Mzimuni
DAR ES SALAAM,Ndugumbi
DAR ES SALAAM,Tandale
DAR ES SALAAM,Wazo
DAR ES SALAAM,Azimio
DAR ES SALAAM,Buza
DAR ES SALAAM,Chamazi
DAR ES SALAAM,Chang'ombe
DAR ES SALAAM,Charambe
DAR ES SALAAM,Keko
DAR ES SALAAM,Kibondemaji
DAR ES SALAAM,Kiburugwa
DAR ES SALAAM,Kijichi
DAR ES SALAAM,Kilakala
DAR ES SALAAM,Kilungule
DAR ES SALAAM,Kurasini
DAR ES SALAAM,Makangarawe
DAR ES SALAAM,Mbagala
DAR ES SALAAM,Mbagala Kuu
DAR ES SALAAM,Mianzini
DAR ES SALAAM,Miburani
DAR ES SALAAM,Mtoni
DAR ES SALAAM,Sandali
DAR ES SALAAM,Tandika
DAR ES SALAAM,Temeke
DAR ES SALAAM,Toangoma
DAR ES SALAAM,Yombo vituka
DAR ES SALAAM,Goba
DAR ES SALAAM,Kibamba
DAR ES SALAAM,Kimara
DAR ES SALAAM,Kwembe
DAR ES SALAAM,Mabibo
DAR ES SALAAM,Makuburi
DAR ES SALAAM,Makurumla
DAR ES SALAAM,Manzese
DAR ES SALAAM,Mbezi
DAR ES SALAAM,Mburahati
DAR ES SALAAM,Msigani
DAR ES SALAAM,Saranga
DAR ES SALAAM,Sinza
DAR ES SALAAM,Ubungo
DODOMA,Babayu
DODOMA,Bahi
DODOMA,Chali
DODOMA,Chibelela
DODOMA,Chifutuka
DODOMA,Chikola
DODOMA,Chipanga
DODOMA,Ibihwa
DODOMA,Ibugule
DODOMA,Ilindi
DODOMA,Kigwe
DODOMA,Lamaiti
DODOMA,Makanda
DODOMA,Mpalanga
DODOMA,Mpamantwa
DODOMA,Mpinga
DODOMA,Msisi
DODOMA,Mtitaa
DODOMA,Mundemu
DODOMA,Mwitikira
DODOMA,Nondwa
DODOMA,Zanka
DODOMA,Buigiri
DODOMA,Chamwino
DODOMA,Chiboli
DODOMA,Chilonwa
DODOMA,Chinugulu
DODOMA,Dabalo
DODOMA,Fufu
DODOMA,Handali
DODOMA,Haneti
DODOMA,Huzi
DODOMA,Idifu
DODOMA,Igandu
DODOMA,Ikombolinga
DODOMA,Ikowa
DODOMA,Iringa mvumi
DODOMA,Itiso
DODOMA,Loje
DODOMA,Majeleko
DODOMA,Makang'wa
DODOMA,Manchali
DODOMA,Manda
DODOMA,Manzase
DODOMA,Membe
DODOMA,Mlowa Barabarani
DODOMA,Mlowa bwawani
DODOMA,Mpwayungu
DODOMA,Msamalo
DODOMA,Msanga
DODOMA,Muungano
DODOMA,Mvumi makulu
DODOMA,Mvumi misheni
DODOMA,Nghaheleze
DODOMA,Nghambaku
DODOMA,Nhinhi
DODOMA,Segala
DODOMA,Zajilwa
DODOMA,Chandama
DODOMA,Chemba
DODOMA,Churuku
DODOMA,Dalai
DODOMA,Farkwa
DODOMA,Goima
DODOMA,Gwandi
DODOMA,Jangalo
DODOMA,Kidoka
DODOMA,Kimaha
DODOMA,Kinyamsindo
DODOMA,Kwamtoro
DODOMA,Lahoda
DODOMA,Lalta
DODOMA,Makorongo
DODOMA,Mondo
DODOMA,Mpendo
DODOMA,Mrijo
DODOMA,Msaada
DODOMA,Ovada
DODOMA,Paranga
DODOMA,Sanzawa
DODOMA,Songolo
DODOMA,Soya
DODOMA,Tumbakose
DODOMA,Chahwa
DODOMA,Chang'ombe
DODOMA,Chigongwe
DODOMA,Chihanga
DODOMA,Dodoma Makulu
DODOMA,Hazina
DODOMA,Hombolo Bwawani
DODOMA,Hombolo makulu
DODOMA,Ihumwa
DODOMA,Ipagala
DODOMA,Ipala
DODOMA,Iyumbu
DODOMA,Kikombo
DODOMA,Kikuyu Kaskazini
DODOMA,Kikuyu Kusini
DODOMA,Kiwanja cha Ndege
DODOMA,Kizota
DODOMA,Makole
DODOMA,Makutupora
DODOMA,Matumbulu
DODOMA,Mbabala
DODOMA,Mbalawala
DODOMA,Miyuji
DODOMA,Mkonze
DODOMA,Mnadani
DODOMA,Mpunguzi
DODOMA,Msalato
DODOMA,Mtumba
DODOMA,Nala
DODOMA,Ngionngionha
DODOMA,Nkuhungu
DODOMA,Ntyuka
DODOMA,Nzuguni
DODOMA,Tambukareli
DODOMA,Uhuru
DODOMA,Zuzu
DODOMA,Bereko
DODOMA,Bumbuta
DODOMA,Busi
DODOMA,Changaa
DODOMA,Haubi
DODOMA,Hondomairo
DODOMA,Itaswi
DODOMA,Itololo
DODOMA,Kalamba
DODOMA,Keikei
DODOMA,Kikilo
DODOMA,Kikore
DODOMA,Kinyasi
DODOMA,Kisese
DODOMA,Kwadelo
DODOMA,Masange
DODOMA,Mnenia
DODOMA,Pahi
DODOMA,Salanka
DODOMA,Soera
DODOMA,Thawi
DODOMA,Bolisa
DODOMA,Chemchem
DODOMA,Kilimani
DODOMA,Kingale
DODOMA,Kolo
DODOMA,Kondoa Mjini
DODOMA,Serya
DODOMA,Suruke
DODOMA,Chamkoroma
DODOMA,Chitego
DODOMA,Chiwe
DODOMA,Hogoro
DODOMA,Iduo
DODOMA,Kibaigwa
DODOMA,Kongwa
DODOMA,Lenjulu
DODOMA,Makawa
DODOMA,Matongoro
DODOMA,Mkoka
DODOMA,Mlali
DODOMA,Mtanana
DODOMA,Nghumbi
DODOMA,Ngomai
DODOMA,Njoge
DODOMA,Pandambili
DODOMA,Sagara
DODOMA,Sejeli
DODOMA,Songambele
DODOMA,Ugogoni
DODOMA,Zoissa
DODOMA,Berege
DODOMA,Chipogoro
DODOMA,Chitemo
DODOMA,Chunyu
DODOMA,Galigali
DODOMA,Godegode
DODOMA,Gulwe
DODOMA,Ipera
DODOMA,Iwondo
DODOMA,Kibakwe
DODOMA,Kimagai
DODOMA,Kingiti
DODOMA,Lufu
DODOMA,Luhundwa
DODOMA,Lumuma
DODOMA,Lupeta
DODOMA,Malolo
DODOMA,Mang'aliza
DODOMA,Massa
DODOMA,Matomondo
DODOMA,Mazae
DODOMA,Mbuga
DODOMA,Mima
DODOMA,Mlembule
DODOMA,Mlunduzi
DODOMA,Mpwapwa Mjini
DODOMA,Mtera
DODOMA,Ng'hambi
DODOMA,Pwaga
DODOMA,Rudi
DODOMA,Ving'hawe
DODOMA,Wangi
DODOMA,Wotta
GEITA,Bugelenga
GEITA,Bukombe
GEITA,Bulangwa
GEITA,Bulega
GEITA,Busonzo
GEITA,Butinzya
GEITA,Igulwa
GEITA,Iyogelo
GEITA,Katente
GEITA,Katome
GEITA,Lyambamgongo
GEITA,Namonge
GEITA,Ng'anzo
GEITA,Runzewe Magharibi
GEITA,Runzewe Mashariki
GEITA,Ushirombo
GEITA,Uyovu
GEITA,Bukome
GEITA,Buseresere
GEITA,Butengo rumasa
GEITA,Buziku
GEITA,Bwanga
GEITA,Bwera
GEITA,Bwina
GEITA,Bwongera
GEITA,Chato
GEITA,Ichwankima
GEITA,Ilemela
GEITA,Ilyamchele
GEITA,Iparamasa
GEITA,kachwamba
GEITA,Kasenga
GEITA,Katende
GEITA,Kigongo
GEITA,Makurugusi
GEITA,Minkoto
GEITA,Muganza
GEITA,Muungano
GEITA,Nyamirembe
GEITA,Nyarutembo
GEITA,Bugalama
GEITA,Bugulula
GEITA,Bujula
GEITA,Bukoli
GEITA,Bukondo
GEITA,Busanda
GEITA,Butobela
GEITA,Butundwe
GEITA,Chigunga
GEITA,Isulwabutundwe
GEITA,Izumacheli
GEITA,Kagu
GEITA,Kakubilo
GEITA,Kamena
GEITA,Kamhanga
GEITA,Kaseme
GEITA,Katoma
GEITA,Katoro
GEITA,Lubanga
GEITA,Ludete
GEITA,Lwamgasa
GEITA,Lwenzera
GEITA,Magenge
GEITA,Nkome
GEITA,Nyachiluluma
GEITA,Nyakagomba
GEITA,Nyakamwaga
GEITA,Nyalwanzaja
GEITA,Nyamalimbe
GEITA,Nyamboge
GEITA,Nyamigota
GEITA,Nyamwilolelwa
GEITA,Nyarugusu
GEITA,Nyaruyeye
GEITA,Nyawilimilwa
GEITA,Nzera
GEITA,Senga
GEITA,Buhalahala
GEITA,Bulela
GEITA,Bung'wangoko
GEITA,Ihanamilo
GEITA,Kalangalala
GEITA,Kanyala
GEITA,Kasamwa
GEITA,Mgusu
GEITA,Mtakuja
GEITA,Nyanguku
GEITA,Nyankumbu
GEITA,Shiloleli
GEITA,Bukandwe
GEITA,Bunigonzi
GEITA,Ikobe
GEITA,Ikunguigazi
GEITA,Ilolangulu
GEITA,Iponya
GEITA,Isebya
GEITA,Lugunga
GEITA,Lulembela
GEITA,Masumbwe
GEITA,Mbogwe
GEITA,Nanda
GEITA,Ngemo
GEITA,Nhomolwa
GEITA,Nyakafulu
GEITA,Nyasato
GEITA,Ushirika
GEITA,Bukwimba
GEITA,Busolwa
GEITA,Izunya
GEITA,Kaboha
GEITA,Kafita
GEITA,Kakora
GEITA,Kharumwa
GEITA,Mwingiro
GEITA,Nundu
GEITA,Nyabulanda
GEITA,Nyamtukuza
GEITA,Nyang'hwale
GEITA,Nyijundu
GEITA,Nyugwa
GEITA,Shabaka
IRINGA,Idodi
IRINGA,Ifunda
IRINGA,Ilolompya
IRINGA,Itunundu
IRINGA,Izazi
IRINGA,Kalenga
IRINGA,Kihanga
IRINGA,Kihorogota
IRINGA,Kising'a
IRINGA,Kiwere
IRINGA,Luhota
IRINGA,Lumuli
IRINGA,Lyamgungwe
IRINGA,Maboga
IRINGA,Magulilwa
IRINGA,Mahuninga
IRINGA,Malengamakali
IRINGA,Masaka
IRINGA,Mboliboli
IRINGA,Mgama
IRINGA,Migoli
IRINGA,Mlenge
IRINGA,Mlowa
IRINGA,Mseke
IRINGA,Nyang'oro
IRINGA,Nzihi
IRINGA,Ulanda
IRINGA,Wasa
IRINGA,Gangilonga
IRINGA,Igumbilo
IRINGA,Ilala
IRINGA,Isakalilo
IRINGA,Kihesa
IRINGA,Kitwiru
IRINGA,Kwakilosa
IRINGA,Makorongoni
IRINGA,Mkimbizi
IRINGA,Mkwawa
IRINGA,Mlandege
IRINGA,Mshindo
IRINGA,Mtwivila
IRINGA,Mwangata
IRINGA,Nduli
IRINGA,Ruaha
IRINGA,Bomalang'ombe
IRINGA,Dabaga
IRINGA,Ibumu
IRINGA,Idete
IRINGA,Ihimbo
IRINGA,Ilula
IRINGA,Image
IRINGA,Irole
IRINGA,Kimala
IRINGA,Lugalo
IRINGA,Mahenge
IRINGA,Masisiwe
IRINGA,Mlafu
IRINGA,Mtitu
IRINGA,Ng'ang'ange
IRINGA,Ng'uruhe
IRINGA,Nyalumbu
IRINGA,Nyanzwa
IRINGA,Ruaha Mbuyuni
IRINGA,Udekwa
IRINGA,Uhambingeto
IRINGA,Ukumbi
IRINGA,Ukwega
IRINGA,Boma
IRINGA,Bumilayinga
IRINGA,Changarawe
IRINGA,Isalavanu
IRINGA,Kinyanambo
IRINGA,Rungemba
IRINGA,Sao Hill
IRINGA,Upendo
IRINGA,Wambi
IRINGA,Idunda
IRINGA,Ifwagi
IRINGA,Igombavanu
IRINGA,Igowole
IRINGA,Ihalimba
IRINGA,Ihanu
IRINGA,Ihowanza
IRINGA,Ikongosi
IRINGA,Ikweha
IRINGA,Itandula
IRINGA,Kasanga
IRINGA,Kibengu
IRINGA,Kiyowela
IRINGA,Luhunga
IRINGA,Maduma
IRINGA,Makungu
IRINGA,Malangali
IRINGA,Mapanda
IRINGA,Mbalamaziwa
IRINGA,Mdabulo
IRINGA,Mninga
IRINGA,Mpanga Tazara
IRINGA,Mtambula
IRINGA,Mtwango
IRINGA,Nyololo
IRINGA,Sadani
KAGERA,Biharamulo Mjini
KAGERA,Bisibo
KAGERA,Kabindi
KAGERA,Kalenge
KAGERA,Kaniha
KAGERA,Katahoka
KAGERA,Lusahunga
KAGERA,Nemba
KAGERA,Nyabusozi
KAGERA,Nyakahura
KAGERA,Nyamahanga
KAGERA,Nyamigogo
KAGERA,Nyantakara
KAGERA,Nyanza
KAGERA,Nyarubungo
KAGERA,Runazi
KAGERA,Ruziba
KAGERA,Behendangabo
KAGERA,Bujugo
KAGERA,Butelankuzi
KAGERA,Ibwera
KAGERA,Izimbya
KAGERA,Kaagya
KAGERA,Kaibanja
KAGERA,Kanyangereko
KAGERA,Karabagaine
KAGERA,Kasharu
KAGERA,Katerero
KAGERA,Katoma
KAGERA,Katoro
KAGERA,Kemondo
KAGERA,Kibirizi
KAGERA,Kikomelo
KAGERA,Kishanje
KAGERA,Kishogo
KAGERA,Kyaitoke
KAGERA,Kyamulaile
KAGERA,Maruku
KAGERA,Mikoni
KAGERA,Mugajwale
KAGERA,Nyakato
KAGERA,Nyakibimbili
KAGERA,Rubafu
KAGERA,Rubale
KAGERA,Ruhunga
KAGERA,Rukoma
KAGERA,Bakoba
KAGERA,Bilele
KAGERA,Buhembe
KAGERA,Hamugembe
KAGERA,Ijuganyondo
KAGERA,Kagondo
KAGERA,Kahororo
KAGERA,Kashai
KAGERA,Kibeta
KAGERA,Kitendaguro
KAGERA,Miembeni
KAGERA,Nshambya
KAGERA,Nyanga
KAGERA,Rwamishenye
KAGERA,Bugene
KAGERA,Bweranyange
KAGERA,Chanika
KAGERA,Chonyonyo
KAGERA,Igurwa
KAGERA,Ihanda
KAGERA,Ihembe
KAGERA,Kamagambo
KAGERA,Kanoni
KAGERA,Kayanga
KAGERA,Kibondo
KAGERA,Kihanga
KAGERA,Kiruruma
KAGERA,Kituntu
KAGERA,Ndama
KAGERA,Nyabiyonza
KAGERA,Nyaishozi
KAGERA,Nyakabanga
KAGERA,Nyakahanga
KAGERA,Nyakakika
KAGERA,Nyakasimbi
KAGERA,Rugera
KAGERA,Rugu
KAGERA,Bugara
KAGERA,Bugomora
KAGERA,Businde
KAGERA,Isingiro
KAGERA,Iteera
KAGERA,Kaisho
KAGERA,Kakanja
KAGERA,Kamuli
KAGERA,Kibare
KAGERA,Kibingo
KAGERA,Kikukuru
KAGERA,Kimuli
KAGERA,Kitwe
KAGERA,Kitwechenchura
KAGERA,Kyerwa
KAGERA,Mabira
KAGERA,Murongo
KAGERA,Nkwenda
KAGERA,Nyakatuntu
KAGERA,Nyaruzumbura
KAGERA,Rukuraijo
KAGERA,Rutunguru
KAGERA,Rwabwere
KAGERA,Songambele
KAGERA,Bugandika
KAGERA,Bugorora
KAGERA,Buyango
KAGERA,Bwanjai
KAGERA,Gera
KAGERA,Ishozi
KAGERA,Ishunju
KAGERA,Kakunyu
KAGERA,Kanyigo
KAGERA,Kashenye
KAGERA,Kassambya
KAGERA,Kilimilile
KAGERA,Kitobo
KAGERA,Kyaka
KAGERA,Mabale
KAGERA,Minziro
KAGERA,Mushasha
KAGERA,Mutukula
KAGERA,Nsunga
KAGERA,Ruzinga
KAGERA,Biirabo
KAGERA,Bisheke
KAGERA,Buganguzi
KAGERA,Buhangaza
KAGERA,Bulyakashaju
KAGERA,Bumbire
KAGERA,Bureza
KAGERA,Burungura
KAGERA,Goziba
KAGERA,Gwanseli
KAGERA,Ibuga
KAGERA,Ijumbi
KAGERA,Ikondo
KAGERA,Ikuza
KAGERA,Izigo
KAGERA,Kabirizi
KAGERA,Kagoma
KAGERA,Kamachumu
KAGERA,Karambi
KAGERA,Kasharunga
KAGERA,Kashasha
KAGERA,Katoke
KAGERA,Kibanga
KAGERA,Kikuku
KAGERA,Kimwani
KAGERA,Kishanda
KAGERA,Kyebitembe
KAGERA,Mafumbo
KAGERA,Magata/Karutanga
KAGERA,Mayondwe
KAGERA,Mazinga
KAGERA,Mubunda
KAGERA,Muhutwe
KAGERA,Muleba
KAGERA,Mushabago
KAGERA,Ngenge
KAGERA,Nshamba
KAGERA,Nyakabango
KAGERA,Nyakatanga
KAGERA,Ruhanga
KAGERA,Rulanda
KAGERA,Rutoro
KAGERA,Bugarama
KAGERA,Bukiriro
KAGERA,Kabanga
KAGERA,Kanazi
KAGERA,Kasulo
KAGERA,Keza
KAGERA,Kibimba
KAGERA,Kibogora
KAGERA,Kirushya
KAGERA,Mabawe
KAGERA,Mbuba
KAGERA,Muganza
KAGERA,Mugoma
KAGERA,Murukurazo
KAGERA,Murusagamba
KAGERA,Ngara Mjini
KAGERA,Ntobeye
KAGERA,Nyakisasa
KAGERA,Nyamagoma
KAGERA,Nyamiaga
KAGERA,Rulenge
KAGERA,Rusumo
KATAVI,Ilela
KATAVI,Ilunde
KATAVI,Inyonga
KATAVI,Kamsisi
KATAVI,Nsenkwa
KATAVI,Utende
KATAVI,Bulamata
KATAVI,Ikola
KATAVI,Ilangu
KATAVI,Ipwaga
KATAVI,Isengule
KATAVI,Kabungu
KATAVI,Kapalamsenga
KATAVI,Karema
KATAVI,Kasekese
KATAVI,Katuma
KATAVI,Mishamo
KATAVI,Mnyagala
KATAVI,Mpandandogo
KATAVI,Mwese
KATAVI,Sibwesa
KATAVI,Tongwe
KATAVI,Ilembo
KATAVI,Kakese
KATAVI,Kashaulili
KATAVI,Kasokola
KATAVI,Kawajense
KATAVI,Kazima
KATAVI,Magamba
KATAVI,Majengo
KATAVI,Makanyagio
KATAVI,Misunkumilo
KATAVI,Mpanda Hotel
KATAVI,Mwamkulu
KATAVI,Nsemulwa
KATAVI,Shanwe
KATAVI,Uwanja wa ndege
KATAVI,Chamalendi
KATAVI,Ikuba
KATAVI,Kasansa
KATAVI,Kibaoni
KATAVI,Majimoto
KATAVI,Mamba
KATAVI,Mbede
KATAVI,Mwamapuli
KATAVI,Usevya
KATAVI,IBINDI
KATAVI,ITENKA
KATAVI,KANOGE
KATAVI,KAPALALA
KATAVI,KATUMBA
KATAVI,LITAPUNGA
KATAVI,MACHIMBONI
KATAVI,MTAPENDA
KATAVI,NSIMBO
KATAVI,SITALIKE
KATAVI,UGALLA
KATAVI,URWILA
KIGOMA,Biharu
KIGOMA,Buhigwe
KIGOMA,Bukuba
KIGOMA,Janda
KIGOMA,Kajana
KIGOMA,Kibande
KIGOMA,Kibwigwa
